LCD,PLD,Surface area (m2/g),Porosity,CO-Henry  (mol/kg/Pa),Halogen%,Ametal%,Metalloid,C,H,O,Metal,N,TDU,O to Metal ratio,electronegative atoms to total atoms ratio,0.1 bar-CO (mol/kg)
4.88713,3.88543,535.129,0.4606,1.64602E-06,0,0,0,22.22222222,22.22222222,44.44444444,11.11111111,0,217,7.783783784,0.443076923,0.016407268
4.75824,3.95303,531.369,0.4562,1.66672E-06,0,0,0,22.22222222,22.22222222,44.44444444,11.11111111,0,217,7.783783784,0.443076923,0.016512013
5.12784,4.01813,630.367,0.4816,1.77795E-06,0,0,0,22.22222222,22.22222222,44.44444444,11.11111111,0,217,7.783783784,0.443076923,0.017620137
5.13844,4.03284,630.232,0.4764,1.76292E-06,0,0,0,22.22222222,22.22222222,44.44444444,11.11111111,0,217,7.783783784,0.443076923,0.017529443
4.92972,3.79229,492.811,0.4524,1.63163E-06,0,0,0,22.22222222,22.22222222,44.44444444,11.11111111,0,217,7.783783784,0.443076923,0.015995314
5.2478,3.97372,609.171,0.4788,1.69718E-06,0,0,0,22.22222222,22.22222222,44.44444444,11.11111111,0,217,7.783783784,0.443076923,0.016923967
4.9438,3.91943,584.311,0.4708,1.57248E-06,0,0,0,22.22222222,22.22222222,44.44444444,11.11111111,0,217,7.783783784,0.443076923,0.0155246
4.75983,4.08689,602.248,0.5034,6.11051E-06,0,0,0,50.74626866,17.91044776,26.86567164,4.47761194,0,673,11.07692308,0.267657993,0.059857935
7.08528,5.06381,939.267,0.5264,5.67896E-06,0,0,0,47.16981132,32.0754717,9.433962264,1.886792453,9.433962264,793,8.888888889,0.184757506,0.05555189
13.96867,13.69556,1519.32,0.68178,5.48012E-06,0,0,0,44.44444444,22.22222222,27.77777778,5.555555556,0,577,9.411764706,0.262295082,0.053754071
4.7399,4.20115,336.032,0.3948,6.13429E-06,0,0,0,41.17647059,29.41176471,17.64705882,5.882352941,5.882352941,577,5.731343284,0.221645022,0.05931595
9.42302,7.17951,4347,0.78436,4.86949E-06,0,0,0,54,26,16,2,2,329,11.63636364,0.17866005,0.048928152
4.51878,3.91316,434.955,0.4704,2.8556E-06,0,0,0,50,36.20689655,8.620689655,1.724137931,3.448275862,445,8,0.11814346,0.028029632
7.00959,6.80894,793.947,0.59612,2.59186E-06,11.11111111,0,0,22.22222222,22.22222222,0,11.11111111,33.33333333,163,0,0.442622951,0.025746614
6.88379,6.45442,969.06,0.5722,4.63286E-06,0,0,0,47.36842105,15.78947368,31.57894737,0,0,541,11.07692308,0.31441048,0.046250106
6.82367,6.45553,944.123,0.5622,5.06161E-06,0,0,0,47.36842105,15.78947368,31.57894737,5.263157895,0,541,11.07692308,0.31441048,0.04993633
5.83174,5.68454,395.202,0.4036,2.33187E-06,0,0,0,50,30,16.66666667,3.333333333,0,1345,9.552238806,0.161046804,0.023077625
11.69294,6.93274,2507.52,0.6994,4.1994E-06,0,2.173913043,0,52.17391304,34.7826087,0,2.173913043,8.695652174,1025,0,0.084936961,0.042023708
4.9083,4.51433,387.757,0.456,2.54014E-06,6.666666667,0,0,13.33333333,40,0,6.666666667,33.33333333,-215,0,0.374350087,0.024928923
4.91504,4.51953,384.994,0.4558,2.54891E-06,6.666666667,0,0,13.33333333,40,0,6.666666667,33.33333333,-215,0,0.374350087,0.025301281
7.01648,4.5072,934.006,0.555,2.60144E-06,0,0,0,44.18604651,34.10852713,7.751937984,1.550387597,12.40310078,421,8,0.197718631,0.025805006
18.44931,9.28498,4831.17,0.84944,3.46393E-06,1.129943503,0,0,56.49717514,29.37853107,9.039548023,1.694915254,2.259887006,593,8.533333333,0.123076923,0.034482965
17.2872,8.80996,4741.45,0.84252,3.52345E-06,1.129943503,0,0,56.49717514,29.37853107,9.039548023,1.694915254,2.259887006,593,8.533333333,0.123769339,0.035582027
14.24572,5.52422,2425.44,0.7126,2.54655E-06,0,0,0,40.4494382,40.4494382,14.60674157,4.494382022,0,289,5.942857143,0.139223561,0.025197178
7.85983,4.2994,1031.17,0.6054,5.89077E-06,0,0,0,44.11764706,27.94117647,19.11764706,4.411764706,4.411764706,657,8.156862745,0.22475856,0.05869325
11.74827,7.33698,1972.76,0.71176,2.92023E-06,0,5.882352941,0,47.05882353,17.64705882,23.52941176,5.882352941,0,937,7.68,0.234718826,0.028993015
12.50781,11.51164,1917.32,0.73012,3.18239E-06,0,5.882352941,0,47.05882353,17.64705882,23.52941176,5.882352941,0,417,7.314285714,0.234003656,0.03221278
5.16583,4.20229,779.923,0.5142,4.5877E-06,0,0,0,47.76119403,38.80597015,5.970149254,1.492537313,5.970149254,457,6.4,0.118959108,0.044978948
9.02635,7.37185,2734.89,0.738,1.16357E-06,0,0,0,60,0,0,20,20,577,0,0.165803109,0.011963329
7.54763,6.30914,1503.6,0.6098,2.95448E-06,0,0,0,34.28571429,28.57142857,0,2.857142857,34.28571429,505,0,0.33256351,0.029450208
6.19215,5.21845,2146.44,0.6236,7.1021E-06,0,0,0,50,26.92307692,15.38461538,3.846153846,3.846153846,457,7.111111111,0.184331797,0.070066237
7.11646,6.19226,1457.08,0.5848,6.18322E-06,0,0,0,34.7826087,26.08695652,23.91304348,4.347826087,10.86956522,481,10.35294118,0.346883469,0.061293505
5.47244,4.59142,1512.66,0.5602,6.07109E-06,2.941176471,0,0,42.64705882,35.29411765,11.76470588,1.470588235,5.882352941,273,11.63636364,0.201801802,0.059729688
4.76295,4.41775,485.717,0.47632,5.12444E-05,0,0,0,45.71428571,28.57142857,11.42857143,2.857142857,11.42857143,529,7.111111111,0.221453287,0.455232837
6.99036,4.92473,2152.69,0.6356,3.37931E-06,0,1.801801802,0,43.24324324,36.03603604,14.41441441,2.702702703,1.801801802,449,9.481481481,0.161616162,0.033509268
10.20776,10.09526,1062.17,0.6163,1.21517E-06,3.846153846,0,0,34.61538462,42.30769231,7.692307692,3.846153846,7.692307692,253,3.692307692,0.184615385,0.012165145
10.07029,9.95473,1119.35,0.6036,1.16854E-06,3.846153846,0,0,34.61538462,42.30769231,7.692307692,3.846153846,7.692307692,253,3.692307692,0.184615385,0.011610696
10.32563,10.2098,946.742,0.6056,1.17915E-06,3.846153846,0,0,34.61538462,42.30769231,7.692307692,3.846153846,7.692307692,253,3.692307692,0.184615385,0.011638971
9.9082,9.78954,1121.89,0.5902,1.13569E-06,3.846153846,0,0,34.61538462,42.30769231,7.692307692,3.846153846,7.692307692,253,3.692307692,0.184615385,0.011439105
6.75364,5.16047,3156.46,0.6402,8.68636E-06,0,0,0,52.17391304,31.88405797,9.420289855,2.173913043,4.347826087,601,7.428571429,0.134275618,0.086299729
6.64209,5.02845,3141.59,0.6368,9.01857E-06,0,0,0,52.17391304,31.88405797,9.420289855,2.173913043,4.347826087,601,7.428571429,0.134275618,0.090105664
7.19383,5.44633,3265.37,0.6548,7.78726E-06,0,0,0,52.17391304,31.88405797,9.420289855,2.173913043,4.347826087,301,6.5,0.133802817,0.077173956
6.75186,5.16957,3154.09,0.64,8.72743E-06,0,0,0,52.17391304,31.88405797,9.420289855,2.173913043,4.347826087,601,7.428571429,0.134275618,0.08669787
10.21454,6.03558,2730.76,0.673,4.64612E-06,0,0,0,52.29357798,30.27522936,11.9266055,2.752293578,2.752293578,649,7.703703704,0.142380423,0.046378441
8.00306,5.96794,3264.96,0.687,5.80409E-06,0,0,0,52.94117647,30.88235294,9.558823529,2.205882353,4.411764706,817,7.703703704,0.13632287,0.057814427
5.33845,4.09504,174.546,0.60088,8.56302E-06,12.12121212,0,0,48.48484848,12.12121212,24.24242424,3.03030303,0,337,12.8,0.360902256,0.081361428
10.48182,8.62307,1495.06,0.61722,1.64095E-06,0,0,0,38.59649123,45.61403509,10.52631579,1.754385965,3.50877193,217,9.6,0.137339056,0.016392057
10.02152,8.19038,1497.27,0.60982,1.70906E-06,0,0,0,38.59649123,45.61403509,10.52631579,1.754385965,3.50877193,217,9.6,0.137339056,0.017047246
10.23635,8.28637,3363.78,0.7708,1.7124E-06,0,0,0,30,0,60,10,0,433,11.52,0.56916996,0.017229358
9.01955,7.89385,3323.78,0.7674,1.60764E-06,0,0,0,30,0,60,10,0,385,11.46268657,0.568888889,0.016092857
8.04962,5.28644,3605.99,0.7172,2.08007E-06,0,0,0,37.5,0,0,6.25,56.25,385,0,0.526508227,0.020729574
8.04915,5.31359,3534.09,0.7174,2.09472E-06,0,0,0,37.5,0,0,6.25,56.25,385,0,0.526508227,0.021006937
